"2022","4","11140645",청구동,"02","1층외",2890423,148172,177076,30
"2022","4","11140645",청구동,"01","1층",2498868,123123,148111,19
"2022","4","11170510",후암동,"00",전체층,1945078,96316,115767,53
"2022","4","11170510",후암동,"01","1층",1976569,112941,132707,38
"2022","4","11170510",후암동,"02","1층외",1865299,54200,72853,15
"2022","4","11170555",청파동,"01","1층",2188579,113593,135479,55
"2022","4","11170555",청파동,"00",전체층,1863303,91653,110286,95
"2022","4","11170555",청파동,"02","1층외",1416048,61487,75647,40
"2022","4","11200580",응봉동,"02","1층외",4501523,255126,300141,6
"2022","4","11200580",응봉동,"00",전체층,0,0,0,10
"2022","4","11200580",응봉동,"01","1층",0,0,0,4
"2022","4","11170650",이태원제1동,"01","1층",2649019,186624,213115,136
"2022","4","11170650",이태원제1동,"00",전체층,2583553,169306,195141,233
"2022","4","11170650",이태원제1동,"02","1층외",2491767,145024,169942,97
"2022","4","11170660",이태원제2동,"02","1층외",5021144,99960,150172,38
"2022","4","11170660",이태원제2동,"00",전체층,3476543,140756,175521,90
"2022","4","11170660",이태원제2동,"01","1층",2347797,170568,194046,52
"2022","4","11215847",자양제4동,"00",전체층,2576386,104186,129950,138
"2022","4","11215847",자양제4동,"02","1층외",3303074,85256,118287,56
"2022","4","11215847",자양제4동,"01","1층",2080112,117114,137915,82
"2022","4","11215830",자양제2동,"01","1층",1590885,85371,101280,74
"2022","4","11215830",자양제2동,"00",전체층,2059549,85605,106200,107
"2022","4","11215830",자양제2동,"02","1층외",3110493,86128,117233,33
"2022","4","11215780",능동,"01","1층",2823043,114485,142715,40
"2022","4","11215780",능동,"00",전체층,2350358,98429,121933,66
"2022","4","11215780",능동,"02","1층외",1623149,73727,89959,26
"2022","4","11230600",답십리제1동,"01","1층",1777905,130960,148739,70
"2022","4","11230600",답십리제1동,"00",전체층,1565578,107166,122822,121
"2022","4","11230600",답십리제1동,"02","1층외",1274150,74509,87251,51
"2022","4","11230750",이문제2동,"02","1층외",2640077,35827,62228,12
"2022","4","11230750",이문제2동,"00",전체층,2542514,70156,95581,36
"2022","4","11230750",이문제2동,"01","1층",2493733,87321,112258,24
"2022","4","11260520",면목제2동,"00",전체층,1054999,58210,68760,83
"2022","4","11260520",면목제2동,"02","1층외",608747,29534,35622,28
"2022","4","11260520",면목제2동,"01","1층",1282182,72808,85630,55
"2022","4","11230705",청량리동,"00",전체층,1785917,91930,109789,66
"2022","4","11230705",청량리동,"01","1층",2142557,102964,124390,50
"2022","4","11230705",청량리동,"02","1층외",671419,57447,64161,16
"2022","4","11260540",면목제4동,"00",전체층,2418606,62435,86621,45
"2022","4","11260540",면목제4동,"02","1층외",1812598,33840,51966,14
"2022","4","11260540",면목제4동,"01","1층",2692287,75348,102271,31
"2022","4","11260655",망우본동,"00",전체층,1455682,71891,86448,95
"2022","4","11260655",망우본동,"02","1층외",1325288,50839,64092,30
"2022","4","11260655",망우본동,"01","1층",1515864,81608,96766,65
"2022","4","11260660",망우제3동,"01","1층",1327231,79706,92978,30
"2022","4","11260660",망우제3동,"00",전체층,1507879,56048,71127,51
"2022","4","11260660",망우제3동,"02","1층외",1765947,22251,39911,21
"2022","4","11260680",신내1동,"02","1층외",1584101,65674,81515,34
"2022","4","11260680",신내1동,"00",전체층,1659521,81313,97908,66
"2022","4","11260680",신내1동,"01","1층",1739655,97929,115326,32
"2022","4","11260575",면목제3·8동,"00",전체층,2092868,81871,102800,96
"2022","4","11260575",면목제3·8동,"02","1층외",3037543,72366,102741,39
"2022","4","11260575",면목제3·8동,"01","1층",1446512,88375,102841,57
"2022","4","11260690",신내2동,"02","1층외",2014558,40999,61144,15
"2022","4","11260690",신내2동,"00",전체층,2940241,75189,104591,32
"2022","4","11260690",신내2동,"01","1층",3757021,105357,142927,17
"2022","4","11290620",정릉제1동,"02","1층외",3047542,42410,72885,8
"2022","4","11290620",정릉제1동,"00",전체층,2323124,98652,121883,30
"2022","4","11290620",정릉제1동,"01","1층",2059699,119103,139700,22
"2022","4","11290715",월곡제1동,"02","1층외",1362198,50477,64099,25
"2022","4","11290715",월곡제1동,"00",전체층,1469177,73594,88286,41
"2022","4","11290715",월곡제1동,"01","1층",1636332,109715,126078,16
"2022","4","11290610",보문동,"02","1층외",2411497,63611,87726,31
"2022","4","11290610",보문동,"00",전체층,2000451,79127,99132,60
"2022","4","11290610",보문동,"01","1층",1561057,95713,111324,29
"2022","4","11305595",번1동,"00",전체층,1351502,78758,92273,100
