strd_yr|sopsrt_clsf_cd|std_adstrd_cd|adstrd_nm|lnno_adres|exche_gtn|la|lo|data_no
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1539683.000|37.5704502339|126.8054687402|10
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1547784.000|37.5704502339|126.8054687402|11
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1596825.000|37.5704502339|126.8054687402|12
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1597284.000|37.5704502339|126.8054687402|13
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1628571.000|37.5704502339|126.8054687402|14
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1685185.000|37.5704502339|126.8054687402|15
2021|PB|11500640|방화2동|서울시 강서구 개화동로21길4|1725806.000|37.5704502339|126.8054687402|16
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|610176.000|37.5785517383|126.8108602175|1
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|617978.000|37.5785517383|126.8108602175|2
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|626278.000|37.5785517383|126.8108602175|3
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|657870.000|37.5785517383|126.8108602175|4
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|918971.000|37.5785517383|126.8108602175|5
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|948767.000|37.5785517383|126.8108602175|6
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|1071687.000|37.5785517383|126.8108602175|7
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|1075308.000|37.5785517383|126.8108602175|8
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|1100569.000|37.5785517383|126.8108602175|9
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|1935491.000|37.5785517383|126.8108602175|10
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|2062155.000|37.5785517383|126.8108602175|11
2021|PB|11500641|방화3동|서울시 강서구 금낭화로23길25|2072072.000|37.5785517383|126.8108602175|12
